Post/Reply,Language,Replies-to,Author,Date,Thread_ID
opios exei elliniko guild as mou stili mail sto game gia na mpoume ego kai ali 3 fili mouname: marcosdemarc,English,Initiator Post(post_3131581),MarcosDeMarc,2021-11-27,thread_441511
"Vrikate tpt; Psaxnw kai egw, Druid tank/healer",English,post_3131581,Nurasama,2022-01-17,thread_441511
ama brite tpt anebasteto na er8w kai egw exw 10 paixtes teza kai ach kai ola,English,post_3131581,zizicop1,2022-03-05,thread_441511
"Η <Iceclowns Citadel> ψάχνει άτομα για end game HC raids.Μέχρι στιγμής τρέχουμε 2x ICC25hc Progress runs, 1x ICC25 alt run, 3-4 RS25n ανά εβδομάδα.Ψάχνουμε άτομα για να εμπλουτίσουμε το roaster μας είτε αυτά είναι Main chars είτε Alt chars και να επεκταθούμε σε RS25hc και TOGC25 Progress.Current ICC25hc Progress -> 8/12Raid Time -> 21:30 Ώρα ΕλλάδοςLoot System -> EP/GPΓια περισσότερες πληροφορίες επισκεφτείτε τον Discord Server μας. -->https://discord.gg/zmyxshhTH6",Greeklish,Initiator Post(post_3133999),Bornskilled,2021-12-22,thread_442203
psaxno ellhniko guild kai genikos atoma gia parea,Greeklish,Initiator Post(post_3129104),tzitzifrikos123,2021-10-27,thread_440722
lordaeron /icc pou paizeis ? horde / alliance?,Greeklish,post_3129104,tikoitas,2021-10-28,thread_440722
kalhspera paieseimai me ena filo kai molis ksekinhsame kai psaxnoume pareitsa,Greeklish,post_3129104,mourlos,2021-11-06,thread_440722
"emeis paizoume icecrown alliance an 8elete, eimaste 5-6 atoma, kainourious xarakthres",English,post_3129104,Gealaich,2021-11-09,thread_440722
<Essence> einai Ellhniko End Game Guild.Psaxnoume gia end game paixtes me 6.2+ gear kai alts.Progress:Icc 25 Hc 12/12-Rs 25 Hc 1/1-Togc 25 50/50.(Horde side).Raid time:20.00 Wra Ellados/Discord/Dkp.,English,Initiator Post(post_3080427),malakas17,2020-10-06,thread_427259
//www.youtube.com/embed/NaLr_xb8XW0?wmode=opaque,Greeklish,post_3080427,malakas17,2020-10-16,thread_427259
//www.youtube.com/embed/4Avcqz-rAZw?wmode=opaque,Greeklish,post_3080427,malakas17,2020-10-16,thread_427259
//www.youtube.com/embed/mOegNPp9Bkk?wmode=opaque,Greeklish,post_3080427,malakas17,2020-10-20,thread_427259
"Καλησπέρα, σε ποιόν να στείλω in game για invite?",Greeklish,post_3080427,tzikas95,2021-01-03,thread_427259
//www.youtube.com/embed/4sD2V-gQvyM?wmode=opaque,Greeklish,post_3080427,boonick,2021-02-14,thread_427259
discord? giati in game den vriskw kanenan!,English,post_3080427,youpitythefool,2021-02-21,thread_427259
kane upomoni tha vreis,Greeklish,post_3080427,Xxlarge,2021-02-24,thread_427259
"Στείλτε στον Banoffee#3368 στο discord.Γενικά δεχόμαστε μόνο άτομα με LoD και RS25HC experience διότι είμαστε end-game guild, σε αντίθεση με τα υπόλοιπα ελληνικα guilds.",Greeklish,post_3080427,boonick,2021-02-25,thread_427259
//www.youtube.com/embed/fMPLQ6HB8TU?wmode=opaque,Greeklish,post_3080427,boonick,2021-03-27,thread_427259
To name tis guild aderfe?,English,post_3080427,pafin,2021-04-03,thread_427259
K r o b a i n h,English,post_3080427,malakas17,2021-04-08,thread_427259
<Essence>-Ellhniko End Game guild-Lod 0% /Rs 25 Hc cleared-Psaxnoume perissoterous Ellhnes gia na synexisoume to ellhniko community.6.2+ Multiple Chars me Icc hc +Rs hc exp.Rt=Pemptes/Savvata 8.30 wra Ellados.,English,post_3080427,malakas17,2021-05-10,thread_427259
//www.youtube.com/embed/WHS8mlUnN_4?wmode=opaque,Greeklish,post_3080427,malakas17,2021-05-12,thread_427259
//www.youtube.com/embed/mDrsn7l2zuc?wmode=opaque,Greeklish,post_3080427,malakas17,2021-05-16,thread_427259
<Essence> einai Ellhniko End Game Guild.Psaxnoume gia end game paixtes me 6.2+ gear kai alts.Progress:Icc 25 Hc 12/12-Rs 25 Hc 1/1-Togc 25 50/50.(Horde side).Raid time:20.00 Wra Ellados/Discord/Dkp.,English,Initiator Post(post_3080427),malakas17,2020-10-06,thread_427259
//www.youtube.com/embed/NaLr_xb8XW0?wmode=opaque,Greeklish,post_3080427,malakas17,2020-10-16,thread_427259
//www.youtube.com/embed/4Avcqz-rAZw?wmode=opaque,Greeklish,post_3080427,malakas17,2020-10-16,thread_427259
//www.youtube.com/embed/mOegNPp9Bkk?wmode=opaque,Greeklish,post_3080427,malakas17,2020-10-20,thread_427259
"Καλησπέρα, σε ποιόν να στείλω in game για invite?",Greeklish,post_3080427,tzikas95,2021-01-03,thread_427259
//www.youtube.com/embed/4sD2V-gQvyM?wmode=opaque,Greeklish,post_3080427,boonick,2021-02-14,thread_427259
discord? giati in game den vriskw kanenan!,English,post_3080427,youpitythefool,2021-02-21,thread_427259
kane upomoni tha vreis,Greeklish,post_3080427,Xxlarge,2021-02-24,thread_427259
"Στείλτε στον Banoffee#3368 στο discord.Γενικά δεχόμαστε μόνο άτομα με LoD και RS25HC experience διότι είμαστε end-game guild, σε αντίθεση με τα υπόλοιπα ελληνικα guilds.",Greeklish,post_3080427,boonick,2021-02-25,thread_427259
//www.youtube.com/embed/fMPLQ6HB8TU?wmode=opaque,Greeklish,post_3080427,boonick,2021-03-27,thread_427259
To name tis guild aderfe?,English,post_3080427,pafin,2021-04-03,thread_427259
K r o b a i n h,English,post_3080427,malakas17,2021-04-08,thread_427259
<Essence>-Ellhniko End Game guild-Lod 0% /Rs 25 Hc cleared-Psaxnoume perissoterous Ellhnes gia na synexisoume to ellhniko community.6.2+ Multiple Chars me Icc hc +Rs hc exp.Rt=Pemptes/Savvata 8.30 wra Ellados.,English,post_3080427,malakas17,2021-05-10,thread_427259
//www.youtube.com/embed/WHS8mlUnN_4?wmode=opaque,Greeklish,post_3080427,malakas17,2021-05-12,thread_427259
//www.youtube.com/embed/mDrsn7l2zuc?wmode=opaque,Greeklish,post_3080427,malakas17,2021-05-16,thread_427259
<Essence>-Ellhniko End Game guild-Lod 0% /Rs 25 Hc cleared-Psaxnoume perissoterous Ellhnes gia na synexisoume to ellhniko community.6.2+ Multiple Chars me Icc hc +Rs hc exp.Rt=Pemptes/Savvata 20.00/18.30 wra Ellados.,English,Initiator Post(post_3125815),malakas17,2021-09-18,thread_427259
eiste apisteftoi,Greeklish,post_3125815,Csdas,2021-09-30,thread_427259
Yparxei Ellhniko guild(Alliance)? Eimai sxetika kainourgios sto game alla eimai pro8umos na ma8w ! Euxaristw,Greeklish,Initiator Post(post_3119558),krepas,2021-07-10,thread_437896
Yphrxan kapote oi Olympians alla perase kairos pou dialithike twra apla eimaste polloi kai skorpioi.,Greeklish,post_3119558,tikoitas,2021-09-02,thread_437896
Οτι λεει και ο τιτλος.ειμαι απο alliance μερια και realm Icecrown. ειμαι spriest 6κ και στο at 2.4k (για οσους ξερουν) .κατα βαση ειναι για παρεα και λιγο χαβαλε .ευχαριστω :),Greeklish,Initiator Post(post_3038833),Year,2020-03-24,thread_415161
"Αν παίζεις ακόμα, addare discord - Bornskilled#1396",Greeklish,post_3038833,vectorone,2021-08-13,thread_415161
"paizeis katholou arena sto blackrock? an nai steile gia kanena game , paizw mage sto 2.4k+",English,post_3038833,burgers13,2021-08-17,thread_415161
WoW horde guild PvE -Auto Attack-Ψάχνουμε άτομα για raid Παρασκευή 9:00 10ρια - Σάββατο 9:00 25ρια normals/hc.,Greeklish,Initiator Post(post_2967637),Xxlarge,2018-12-21,thread_395942
aoua aoua aoua,Greeklish,post_2967637,alkats,2018-12-24,thread_395942
Καλώς τον μούρλοκ,Greeklish,post_2967637,Xxlarge,2018-12-24,thread_395942
Are you still recruiting?,English,post_2967637,Solidukos,2019-01-23,thread_395942
Ναι ακόμα στον αγώνα! Whisper me in-game για invites ή απο δω,Greeklish,post_2967637,Xxlarge,2021-01-31,thread_395942
Τι ώρα και μέρα είναι το raid?,Greeklish,post_2967637,Deadlypwnage,2021-02-04,thread_395942
Ψάχνουμε άτομα για raid Παρασκευή 9:00 10ρια - Σάββατο 9:00 25ρια normals/hc.,Greeklish,post_2967637,Xxlarge,2021-02-08,thread_395942
Εγω επαιζα πριν καιρο στον icecrown και τωρα ειμαι στον frostmourne...αλλα αν παιξει φαση με ελληνικη guild θα το σκεφτω σοβαρα να παιξω στον icecrown...εχω shaman healer 6.2....feral druid 5.7 kai enan rogue 80 fresh! και αν συνεχισουμε μεχρι τον απριλιο(ποθ θα κλεισει ο frostmourne) θα ερθει και warrior κανα 6k,Greeklish,post_2967637,youpitythefool,2021-02-13,thread_395942
"Εμείς τώρα κάνουμε το ξεκίνημα μας ουσιαστικά, οπότε ευπρόσδεκτοι όλοι.Discord Server:https://discord.gg/YeXsePtcfu@Bubblethesap in WoW.@Bubble#9994 on discord.",Greeklish,post_2967637,Xxlarge,2021-02-13,thread_395942
Δεχεστε ακομα κοσμο?,Greeklish,post_2967637,geogreknd666,2021-07-03,thread_395942
