text,orig_lang
"[42] A 2013 article titled ""The Decline of Wikipedia"" in MIT Technology Review questioned this claim.",English
As thick as two short planks,English
"[67] Microorganisms are single-celled organisms that are generally microscopic, and smaller than the human eye can see.",English
Champ at the bit,English
Shambles,English
another example of catch-22 is you need a bank loan because you don't have enough.,English
Clean breast - make a ,English
Word for word,English
i ask and then i say in the end.,English
Rum do,English
"[82][83][84] Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems.",English
Balance of power - The ,English
i'm gonna give you top 50 english phrases that you can use in your everyday life.,English
Knock back,English
Take care of the pence and the pounds will take care of themselves,English
Taken aback,English
"i'm free all weekend, let's do something.",English
I will wear my heart upon my sleeve,English
Agree to disagree,English
[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English
The upper hand,English
There exists a highly complex feedback loop between the use of advanced technology and changes to the environment that are only slowly becoming understood.,English
Play silly buggers,English
Throw your hat into the ring,English
Inside out,English
Booby trap,English
"In machine learning, genetic algorithms were used in the 1980s and 1990s.",English
Route one,English
Beam ends - On your,English
Gone for a burton,English
"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English
Heavy metal,English
Up the creek without a paddle,English
Differently abled,English
Walk the walk,English
"This is while Wikipedia faces ""a more concerning problem"" than funding, namely ""a flattening growth rate in the number of contributors to the website"".",English
"According to a study by Pnina Shachaf in the Journal of Documentation, the quality of the Wikipedia reference desk is comparable to a standard library reference desk, with an accuracy of 55 percent.",English
"[43] Reinforcement learning algorithms do not assume knowledge of an exact mathematical model of the MDP, and are used when exact models are infeasible.",English
Hunky-dory,English
Die-hard,English
Sparse dictionary learning has been applied in several contexts.,English
"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English
Old lang syne - see auld lang syne,English
"[79] In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognized influences among artists.",English
Devil take the hindmost - The ,English
what hello i have come here to ask for narcissus hand in marriage but how do you know her name and who are you.,English
"In machine learning, the environment is typically represented as a Markov decision process (MDP).",English
Red in tooth and claw,English
Too big for your breeches,English
Carpe diem,English
Sight for sore eyes (A) ,English
Beef and reef,English
There's an R in the month,English
Pomp and circumstance,English
Go to the dogs,English
How sharper than a serpent's tooth it is to have a thankless child,English
Exceedingly well read,English
No laughing matter,English
Tit for tat ,English
Hush puppies,English
"The climate of a region depends on a number of factors, especially latitude.",English
Straight from the horse's mouth,English
The number of Wikipedia editors has been declining after several years and Tom Simonite of MIT Technology Review claims the bureaucratic structure and rules are a factor in this.,English
"[78][79] After the incident, Seigenthaler described Wikipedia as ""a flawed and irresponsible research tool"".",English
Game is up - The ,English
Spend a penny,English
On a hiding to nothing,English
The floozie in the jacuzzi,English
Play by ear,English
Get underway,English
Mutt's nuts - The ,English
You can't make a silk purse out of a sow's ear,English
"If the hypothesis is less complex than the function, then the model has under fitted the data.",English
Jack tar,English
More honoured in the breach than in the observance,English
Economical with the truth,English
Willy nilly,English
Hear hear,English
Just in time,English
Bling-bling,English
"Sanger coined its name[5][6] as a portmanteau of ""wiki"" and ""encyclopedia"".",English
Laugh like a drain,English
Whistle blower,English
It's all grist to the mill,English
would you like me to give yo a ride home?,English
A woman needs a man like a fish needs a bicycle,English
"Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",English
"[51][52][53] The number of individual species of life is constantly in some degree of flux, with new species appearing and others ceasing to exist on a continual basis.",English
A sea change,English
Ps and Qs - Mind your ,English
Foam at the mouth,English
"The study of nature is a large, if not the only, part of science.",English
Give no quarter,English
Get your dander up,English
Shot in the arm,English
"[2] Machine learning algorithms are used in a wide variety of applications, such as email filtering and computer vision, where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.",English
Pig in a poke,English
(By the) skin of your teeth,English
"Though generally recognized as several 'separate' oceans, these waters comprise one global, interconnected body of salt water often referred to as the World Ocean or global ocean.",English
Negative results show that certain classes cannot be learned in polynomial time.,English
"[322] A working group led by Peter Stone (formed as a part of the Stanford-based project One Hundred Year Study on Artificial Intelligence) in its report called Wikipedia ""the best-known example of crowdsourcing ... that far exceeds traditionally-compiled information sources, such as encyclopedias and dictionaries, in scale and depth.",English
As cool as a cucumber,English
i don't have an opinion on the matter.,English
"Et tu, Brute",English
Get used to it,English
As happy as...,English
You get on my wick,English
Give up the ghost,English
McCoy - The real,English
"Usually, when training a machine learning model, one needs to collect a large, representative sample of data from a training set.",English
"""[155] Joseph Reagle suggested that while the study reflects ""a topical strength of Wikipedia contributors"" in science articles, ""Wikipedia may not have fared so well using a random sampling of articles or on humanities subjects.",English
Put on the wooden overcoat,English
Riding shotgun,English
Fait accompli ,English
Wave a red rag to a bull,English
Piece of piss,English
This exposure alternates as the Earth revolves in its orbit.,English
Machine learning also has intimate ties to optimization: many learning problems are formulated as minimization of some loss function on a training set of examples.,English
Rat arsed,English
As snug as a bug in a rug,English
All's fair in love and war,English
"[292][293] In 2017–18, after a barrage of false news reports, both Facebook and YouTube announced they would rely on Wikipedia to help their users evaluate reports and reject false news.",English
"Artificial neural networks (ANNs), or connectionist systems, are computing systems vaguely inspired by the biological neural networks that constitute animal brains.",English
"In the early days of AI as an academic discipline, some researchers were interested in having machines learn from data.",English
"In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.",English
"Friends, Romans, Countrymen, lend me your ears",English
As straight as a die,English
"Since it has terabytes of disk space, it can have far more topics than can be covered by any printed encyclopedia.",English
"Comedian Stephen Colbert has parodied or referenced Wikipedia on numerous episodes of his show The Colbert Report and coined the related term wikiality, meaning ""together we can create a reality that we all agree on—the reality we just agreed on"".",English
"[10] Interest related to pattern recognition continued into the 1970s, as described by Duda and Hart in 1973.",English
Great minds think alike,English
three if you want to ask you what have you been doing.,English
Take the Mickey,English
"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English
Two cents worth,English
Upper hand,English
Make him an offer he can't refuse,English
"With 42.9 million unique visitors, Wikipedia was ranked number 9, surpassing The New York Times (#10) and Apple (#11).",English
Age before beauty,English
Good in parts,English
Powers that be - The ,English
Hard man is good to find - A ,English
Nul points,English
Point Percy at the porcelain,English
Look before you leap,English
In a trice,English
Englishman's home is his castle,English
Win hands down,English
"[32] Around 1,800 articles were added daily to the encyclopedia in 2006; by 2013 that average was roughly 800.",English
"[62][63] A frequently vandalized article can be semi-protected or extended confirmed protected, meaning that only autoconfirmed or extended confirmed editors are able to modify it.",English
Hoity-toity,English
do you mind if i jump in here?,English
Have no truck with,English
"[177] Another example can be found in ""Wikipedia Celebrates 750 Years of American Independence"", a July 2006 front-page article in The Onion,[332] as well as the 2010 The Onion article ""'L.A.",English
The land of nod,English
All at sea,English
Hit the ground running,English
Chew the cud,English
Jury is still out,English
The law is an ass,English
(It) fell off the back of a truck,English
[78] Nature and wildness have been important subjects in various eras of world history.,English
also if you liked this video give it a thumbs up by hitting the like button and remember to subscribe to this channel by clicking the subscribe button to get my latest lessons right here on youtube.,English
Monty - The full,English
"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English
In the pink ,English
Touchy-feely,English
"[98] Editors in good standing in the community can run for one of many levels of volunteer stewardship: this begins with ""administrator"",[99][100] privileged users who can delete pages, prevent articles from being changed in case of vandalism or editorial disputes (setting protective measures on articles), and try to prevent certain people from editing.",English
How are the mighty fallen?,English
Sandwich short of a picnic,English
"[345][346][347] Nicholas Carr wrote a 2005 essay, ""The amorality of Web 2.0"", that criticized websites with user-generated content, like Wikipedia, for possibly leading to professional (and, in his view, superior) content producers' going out of business, because ""free trumps quality all the time"".",English
are you free next saturday?,English
"[48] Over nine-tenths of the total biomass on Earth is plant life, on which animal life depends very heavily for its existence.",English
Stitch in time saves nine - A ,English
"It is intended to identify strong rules discovered in databases using some measure of ""interestingness"".",English
so much that they forget what to do now confused tends to be an overused word so instead of that why don't you use flummox for example the boy looked completely .flummoxed when the teacher asked him a question in class or the dog was flummoxed looking at his own reflection in the mirror or the tourist was flummoxed by the different customs that.,English
"Many devices and applications optimize or enhance the display of Wikipedia content for mobile devices, while some also incorporate additional features such as use of Wikipedia metadata (see Wikipedia:Metadata), such as geoinformation.",English
"[127] The second and third largest Wikipedias owe their position to the article-creating bot Lsjbot, which as of 2013 had created about half the articles in the Swedish Wikipedia, and most of the articles in the Cebuano and Waray Wikipedias.",English
"Initiatives to involve greater diversity of contributors, better mobile support of Wikipedia, new geo-location tools to find local content more easily, and more tools for users in the second and third world are also priorities,"" Walsh said.",English
You'll wonder where the yellow went when you brush your teeth with Pepsodent,English
Safe sex,English
Some of the sketches were directly inspired by Wikipedia and its articles.,English
"[83] The values of these constants have been carefully measured, but the reason for their specific values remains a mystery.",English
"No way, Jose",English
Shrinking violet,English
"no, not at all.",English
we've learnt a whole lot of these smart words and we tend to stuff two three four of them in one sentence that doesn't sound natural.,English
Catch 22,English
"GOLF - Gentlemen only, ladies forbidden",English
Sitting pretty,English
"[256][257] in 2017, Wikipedia had installed a caching cluster in an Equinix facility in Singapore, the first of its kind in Asia.",English
Fly in the ointment,English
Between two stools,English
Grinning like a Cheshire cat,English
"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English
You can't teach an old dog new tricks,English
All work and no play makes Jack a dull boy,English
Word in edgeways - A ,English
can you repeat it?.,English
Everybody out,English
[64] When basic forms of plant life developed the process of photosynthesis the sun's energy could be harvested to create conditions which allowed for more complex life forms.,English
Cookie cutter,English
"If you can't stand the heat, get out of the kitchen",English
If I had my druthers,English
beats me.,English
In a cleft stick,English
"For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand; on the computer's part, no learning is needed.",English
Grace of God - There but for ... ,English
[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English
I have nothing to declare but my genius,English
Put up your dukes,English
Skid row,English
Pip - Get the/got the /have the ,English
Through thick and thin ,English
oh dear one night when she was sleeping her mother sat at her side watching her.,English
"[162] Concerns have been raised by PC World in 2009 regarding the lack of accountability that results from users' anonymity,[163] the insertion of false information,[164] vandalism, and similar problems.",English
The outer surface is divided into several gradually migrating tectonic plates.,English
"Consequently, the challenge for Wikipedia and those who use it is to ""save Wikipedia and its promise of a free and open collection of all human knowledge amid the conquest of new and old television—how to collect and preserve knowledge when nobody cares to know.",English
Toast of the town,English
Common sense,English
"can't complain next phrase somebody tells you something and you haven't really mentioned it in the conversation like they guess somehow that you have a new job, and you ask him.",English
"[26] Wikipedia gained early contributors from Nupedia, Slashdot postings, and web search engine indexing.",English
phrase number two when you haven't seen somebody for a while you tell him a long time no see so that means that you haven't seen this person maybe weeks or months a long time no see phrase number.,English
Quicker than lager turns to piss,English
Go off half-cocked,English
Baby boomer,English
All in all,English
As fit as a fiddle,English
I'll go to the foot of our stairs,English
"The Economist reported that the number of contributors with an average of five or more edits per month was relatively constant since 2008 for Wikipedia in other languages at approximately 42,000 editors within narrow seasonal variances of about 2,000 editors up or down.",English
"Goody, goody gumdrops",English
Sleeveless errand,English
There was a decline of about two billion between December 2012 and December 2013.,English
Keepy-uppy,English
"[301] According to ""Wikipedia Readership Survey 2011"", the average age of Wikipedia readers is 36, with a rough parity between genders.",English
What a piece of work is man,English
"Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR).",English
Simonite alleges some Wikipedians use the labyrinthine rules and guidelines to dominate others and those editors have a vested interest in keeping the status quo.,English
Outgassing and volcanic activity produced the primordial atmosphere.,English
Blow a raspberry - see raspberry tart,English
An early tradition of landscape art began in China during the Tang Dynasty (618–907).,English
 Surfing the Net/surfing the Internet/surfing the Web ,English
These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English
Pigs might fly,English
Double Dutch,English
"[112] Jimmy Wales once argued that only ""a community ... a dedicated group of a few hundred volunteers"" makes the bulk of contributions to Wikipedia and that the project is therefore ""much like any traditional organization"".",English
Hard hearted,English
Good men and true,English
"He who can, does; he who cannot, teaches",English
would you mind repeating that?,English
"sorry, i can't right now.",English
Ends of the earth  - The,English
"[1] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".",English
Loved-up,English
"Roy Rosenzweig, a history professor, stated that American National Biography Online outperformed Wikipedia in terms of its ""clear and engaging prose"", which, he said, was an important aspect of good historical writing.",English
As queer as a nine bob note,English
Positive results show that a certain class of functions can be learned in polynomial time.,English
Swan song,English
"Something old, something new, something borrowed, something blue",English
Penny pinching,English
Bandy words ,English
Booze cruise,English
Fanny Adams - Sweet ,English
"[353] In 2015, French researchers José Lages of the University of Franche-Comté in Besançon and Dima Shepelyansky of Paul Sabatier University in Toulouse published a global university ranking based on Wikipedia scholarly citations.",English
"[77] Beauty in nature has historically been a prevalent theme in art and books, filling large sections of libraries and bookstores.",English
"[32] According to Michael I. Jordan, the ideas of machine learning, from methodological principles to theoretical tools, have had a long pre-history in statistics.",English
What are you like?,English
Enough is enough,English
"Supervised anomaly detection techniques require a data set that has been labeled as ""normal"" and ""abnormal"" and involves training a classifier (the key difference to many other statistical classification problems is the inherently unbalanced nature of outlier detection).",English
Blast from the past - A,English
narcis at home in the carriage she started to think deeply about the choices she had made when she reached home.,English
About turn,English
Shuffle off this mortal coil,English
Beyond belief,English
Leopard cannot change its spots - A ,English
"[17] Wales is credited with defining the goal of making a publicly editable encyclopedia,[18][19] while Sanger is credited with the strategy of using a wiki to reach that goal.",English
[77] The article remained uncorrected for four months.,English
Weather can have both beneficial and harmful effects.,English
More fool you,English
I bear a charmed life,English
"Similarly, animals are often categorized in ways such as domestic, farm animals, wild animals, pests, etc.",English
Watch the birdie,English
"On February 9, 2006, the injunction against Wikimedia Deutschland was overturned, with the court rejecting the notion that Tron's right to privacy or that of his parents was being violated.",English
"Carr wrote: ""Implicit in the ecstatic visions of Web 2.0 is the hegemony of the amateur.",English
Bloody-minded,English
Better half ,English
Press into service,English
Country bumpkin,English
Don't shut the stable door after the horse has bolted,English
Greased lightning,English
"[48][49]  On January 18, 2012, the English Wikipedia participated in a series of coordinated protests against two proposed laws in the United States Congress—the Stop Online Piracy Act (SOPA) and the PROTECT IP Act (PIPA)—by blacking out its pages for 24 hours.",English
One fell swoop - At,English
[44] A smaller unit of size is called a microecosystem.,English
Beetle-browed,English
Trouble and strife,English
Bats in the belfry,English
Not for all the tea in China,English
Put a damper on,English
Savoir faire,English
What you see is what you get - wysiwyg,English
Pull your finger out,English
Moot point,English
"Don't get mad, get even",English
Cock and bull story,English
Turn a blind eye,English
"[133] Though the various language editions are held to global policies such as ""neutral point of view"", they diverge on some points of policy and practice, most notably on whether images that are not licensed freely may be used under a claim of fair use.",English
 Butt end of the stick - The ,English
Living off the fat of the land,English
don't take it to heart like seriously don't be so upset don't take it to heart.,English
"to an english-speaking country, you can totally use this.",English
"Maher stated regarding the harassment issue that: ""It establishes a sense within the community that this is a priority ... (and that correction requires that) it has to be more than words.",English
On the pig's back,English
[50] More than 162 million people viewed the blackout explanation page that temporarily replaced Wikipedia content.,English
(Ne'er) cast a clout till May be out,English
"Its most common form is linear regression, where a single line is drawn to best fit the given data according to a mathematical criterion such as ordinary least squares.",English
The back of beyond,English
Bated breath,English
Three score and ten,English
Short end of the stick - The ,English
The bee's knees,English
Pond life,English
Shoot through,English
At sixes and sevens,English
Say cheese,English
Different layers may perform different kinds of transformations on their inputs.,English
"These life forms are found in almost every location on the Earth where there is liquid water, including in the Earth's interior.",English
Guts for garters,English
You can't have your cake and eat it too ,English
"[68] Under this system, new and unregistered users' edits to certain controversial or vandalism-prone articles are reviewed by established users before they are published.",English
Get over it,English
Cor blimey,English
"The study was limited to those articles that could be found in the Physician Data Query and excluded those written at the ""start"" class or ""stub"" class level.",English
Cotton on to,English
Like the Dickens,English
Hem and haw,English
"[74] There are many applications for machine learning, including: In 2006, the media-services provider Netflix held the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%.",English
A turn up for the books,English
The love that dare not speak its name,English
Not tonight Josephine,English
"[205] Taha Yasseri of the University of Oxford, in 2013, studied the statistical trends of systemic bias at Wikipedia introduced by editing conflicts and their resolution.",English
"[56] Typically, the anomalous items represent an issue such as bank fraud, a structural defect, medical problems or errors in a text.",English
Is this a dagger which I see before me?,English
Beggars can't be choosers,English
Picture is worth a thousand words - A ,English
Which  is which?,English
Fiddling while Rome burns,English
Asap - As soon as possible,English
Comes to the crunch - (When it) ,English
Dumb blonde,English
Clear blue water,English
Carry coals to Newcastle,English
A knight in shining armour,English
Labour of love,English
(A) Dog is a man's best friend,English
Wild goose chase,English
The law is an ass ,English
That's all she wrote,English
Bone dry,English
Twelve good men and true,English
There's no such thing as bad publicity,English
Toffee-nosed,English
"Although Earth is the only body within the solar system known to support life, evidence suggests that in the distant past the planet Mars possessed bodies of liquid water on the surface.",English
Bygones be bygones - Let,English
At loggerheads,English
"More than half of this area is over 3,000 meters (9,800 feet) deep.",English
"Before that, paintings had been primarily of religious scenes or of human beings.",English
Back to the drawing board,English
The Devil to pay,English
Fashion victim,English
Three sheets to the wind,English
"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English
i'd be glad to help.,English
"This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.",English
"For a dictionary where each class has already been built, a new training example is associated with the class that is best sparsely represented by the corresponding dictionary.",English
[6] The discipline of machine learning employs various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available.,English
"Although humans are part of nature, human activity is often understood as a separate category from other natural phenomena.",English
Happy clappy,English
The year dot,English
The monstrous regiment of women,English
An Englishman's home is his castle,English
There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines.,English
somebody's busy you can always say sorry to bother you and then you can go ahead and ask.,English
"[319] On September 16, 2007, The Washington Post reported that Wikipedia had become a focal point in the 2008 US election campaign, saying: ""Type a candidate's name into Google, and among the first results is a Wikipedia page, making those entries arguably as important as any ad in defining a candidate.",English
Shilly-shally,English
Keep the ball rolling,English
"you rock if somebody's not working really well, and you want them to work harder you can say you should go an extra mile which means like work harder you should go an extra mile .",English
and said that he wanted to marry me he had come in a golden carriage and he was dressed from top to bottom and gold as well what a silly dream.,English
me so the next time you get math homework from school for example and if you've left your math book in school then you can tell your friends that you're in a real fix now you may think that the word fix has something to do with repairing something.,English
[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English
"He comments that some traditional sources of non-fiction suffer from systemic biases and novel results, in his opinion, are over-reported in journal articles and relevant information is omitted from news reports.",English
By gum,English
[77] In 2010 The Wall Street Journal wrote about the firm Rebellion Research and their use of machine learning to predict the financial crisis.,English
Famous for fifteen minutes,English
Finagle's Law,English
and you know the best part of it was when i was in my wedding dress which was of gold too of course everyone was staring at only me narcisa there is nothing amazing about that dream.,English
Granny dumping,English
Backward in coming forward,English
Supervised learning algorithms build a mathematical model of a set of data that contains both the inputs and the desired outputs.,English
One good turn deserves another,English
"Originally Aristotle divided all living things between plants, which generally do not move fast enough for humans to notice, and animals.",English
Buck stops here - The ,English
"POSH - Port out, starboard home",English
Failing to plan is planning to fail,English
"[76] Shortly after the prize was awarded, Netflix realized that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly.",English
